Crop,Area_hectares,Temperature_C,Rainfall_mm,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer_kg_ha,Irrigation_percent,Yield_tons_per_hectare
apple,10.85,15.05,1170.7,37.1,32.1,35.8,89.1,45.9,8.07
watermelon,12.58,25.61,704.9,46.5,30.6,45.5,90.9,38.4,27.42
lentil,2.22,25.38,591.5,57.1,35.8,39.0,61.7,10.0,1.61
orange,11.54,19.39,781.1,35.6,33.2,37.0,118.7,53.9,18.28
pomegranate,7.93,25.51,752.5,65.2,14.5,50.3,157.0,31.2,12.19
muskmelon,4.14,28.41,635.9,69.6,31.7,42.7,66.8,57.3,19.8
maize,5.31,27.49,696.2,90.1,48.2,37.9,161.2,58.0,7.48
kidneybeans,14.62,17.31,677.7,55.6,24.9,20.2,97.9,35.5,1.94
mungbean,9.98,27.66,732.7,26.3,22.9,42.3,82.3,24.8,1.38
maize,3.06,21.75,606.0,115.6,48.6,44.6,155.1,64.8,6.35
grapes,9.35,28.34,430.8,58.4,20.5,45.5,104.7,56.6,7.42
apple,5.64,18.81,690.4,42.9,34.4,41.6,96.2,24.8,14.07
cotton,4.39,25.62,1108.5,74.7,40.4,41.5,143.6,66.7,2.34
coconut,15.83,21.37,2019.9,75.5,34.2,62.9,126.0,79.1,6.75
coffee,3.43,21.13,862.3,62.5,34.5,43.4,132.8,71.7,2.3
pigeonpeas,12.5,30.75,912.6,54.2,42.0,23.2,82.0,46.1,1.47
papaya,2.11,25.38,1437.5,80.1,32.3,53.5,150.1,80.7,31.22
lentil,15.96,17.2,743.6,43.5,22.1,26.4,47.6,16.7,1.52
coconut,8.25,35.97,2162.4,57.1,38.4,68.9,119.1,57.1,8.22
pigeonpeas,5.62,26.24,1119.1,43.3,44.8,33.7,94.0,60.3,1.62
lentil,9.81,20.92,781.1,23.7,29.4,23.4,71.7,42.1,1.42
jute,2.57,28.53,1210.0,58.5,40.1,48.3,144.6,62.2,2.64
cotton,8.17,19.93,689.1,71.8,41.0,32.1,142.6,48.7,2.74
papaya,5.23,19.79,965.9,49.3,28.4,50.9,193.3,69.6,24.66
lentil,11.51,17.59,745.2,40.8,28.4,39.1,103.5,26.6,0.97
coffee,18.57,22.78,1878.2,46.6,42.3,44.8,124.6,91.1,2.07
coffee,6.65,20.87,1281.2,76.7,39.8,36.2,161.0,82.3,2.24
pigeonpeas,29.8,28.23,931.0,47.8,27.8,50.6,74.1,45.4,1.8
muskmelon,4.41,22.89,597.7,54.4,27.1,46.7,124.6,32.8,18.2
watermelon,5.39,28.78,601.7,35.5,35.8,41.6,120.5,53.9,23.21
mothbeans,22.52,32.22,599.4,48.4,22.4,29.1,57.1,28.2,1.32
pomegranate,13.59,28.34,524.5,48.4,28.5,61.6,95.1,42.4,11.49
cotton,3.37,27.4,628.7,91.1,36.4,36.5,158.9,51.6,2.64
grapes,10.16,23.2,438.6,50.9,28.8,47.1,90.0,37.4,9.48
coffee,3.17,22.66,1776.0,72.0,36.3,46.5,135.9,63.5,2.51
jute,15.8,26.89,1336.3,57.6,29.9,30.9,107.6,63.7,3.02
mothbeans,4.28,31.32,658.1,44.0,20.3,25.0,66.9,23.8,1.44
kidneybeans,13.75,18.87,518.6,40.4,38.2,45.2,118.9,27.8,1.67
lentil,16.92,20.72,549.0,41.5,21.0,25.3,78.3,40.4,1.77
pomegranate,15.99,21.82,468.7,67.7,28.3,52.0,130.3,31.6,11.87
muskmelon,4.22,27.23,497.6,52.5,38.7,31.7,101.2,49.7,23.7
cotton,5.14,27.15,608.3,70.8,55.2,44.1,108.1,45.3,2.43
pigeonpeas,9.91,22.68,624.5,61.4,37.3,41.3,100.2,55.1,1.41
grapes,26.23,25.01,763.3,69.0,21.8,30.0,92.0,55.0,11.64
kidneybeans,30.0,21.16,640.1,62.1,39.9,28.6,84.9,62.1,2.08
apple,15.15,18.83,928.6,45.8,28.0,33.9,94.5,43.9,12.24
chickpea,6.9,21.8,843.0,47.9,34.9,31.6,52.2,26.0,2.41
rice,5.91,20.44,884.8,85.2,44.9,27.4,102.4,85.5,3.8
mungbean,6.51,28.06,859.6,26.3,39.3,35.7,69.9,27.6,1.23
blackgram,3.72,27.79,574.8,38.2,34.4,25.1,79.2,43.1,1.38
kidneybeans,5.18,16.63,548.1,51.0,43.5,25.4,104.2,67.8,1.85
chickpea,15.43,17.87,527.8,47.0,39.4,37.0,119.4,22.0,2.09
apple,5.81,20.37,1093.4,25.2,38.9,47.4,100.0,34.3,9.93
blackgram,10.48,27.3,665.3,54.6,33.8,47.0,69.6,36.1,1.62
rice,5.91,33.81,1033.0,81.2,27.8,34.2,144.9,74.5,4.47
apple,4.64,20.92,774.9,34.1,26.0,51.7,99.0,49.6,9.38
muskmelon,10.45,28.72,668.3,43.3,27.0,37.8,100.0,26.6,20.46
cotton,9.47,31.57,748.5,84.7,46.9,34.5,171.4,46.5,2.59
grapes,4.0,30.49,607.2,37.7,24.3,53.8,133.5,43.8,8.52
chickpea,6.6,19.14,652.9,48.9,35.6,49.3,100.5,21.1,2.12
kidneybeans,15.29,23.94,588.8,62.3,43.8,37.3,115.9,51.9,2.14
mothbeans,13.02,21.98,412.5,35.5,26.6,17.9,74.2,33.7,1.37
banana,4.25,31.08,1774.0,84.1,31.5,74.1,151.0,80.6,22.27
cotton,10.16,19.14,630.5,71.7,31.7,41.8,91.5,59.0,2.88
chickpea,10.23,17.45,677.7,43.7,21.1,38.0,62.4,49.7,2.7
papaya,19.0,20.06,1209.3,73.6,38.9,69.8,188.7,79.2,34.28
cotton,4.69,27.01,613.5,70.7,40.7,54.4,152.4,42.8,3.1
coconut,11.99,29.49,1457.5,59.3,37.1,45.2,130.4,74.3,10.28
grapes,7.1,24.76,730.8,52.1,18.9,50.7,88.0,45.9,12.65
coffee,6.54,20.02,2151.9,77.3,42.3,50.3,90.3,50.9,1.98
jute,3.87,27.19,1122.4,54.2,44.1,43.5,109.1,90.1,3.54
papaya,2.62,29.66,1577.3,94.8,33.5,66.4,166.3,61.1,41.81
banana,17.78,30.43,1482.4,86.7,33.9,80.7,171.2,75.7,25.84
mungbean,2.23,27.48,361.3,50.1,18.2,33.7,85.1,36.5,0.97
pomegranate,13.35,28.17,803.4,51.8,35.7,46.8,113.2,31.3,10.89
jute,7.17,26.82,2110.5,64.5,34.9,50.2,125.2,66.7,2.31
chickpea,2.32,20.96,617.4,37.1,25.9,43.1,98.9,34.7,2.22
coconut,5.07,27.07,1461.3,65.4,19.8,55.8,147.8,78.3,6.78
kidneybeans,12.4,17.61,675.2,64.9,30.7,41.6,48.4,49.5,1.86
coffee,10.91,23.91,1945.7,61.6,37.3,39.8,131.1,83.8,1.83
chickpea,6.2,19.3,686.2,34.6,33.3,30.4,111.0,23.3,2.41
papaya,20.78,26.34,1178.0,50.5,31.8,83.8,158.3,61.3,40.46
orange,2.4,20.99,495.1,54.5,26.1,50.4,112.8,52.7,9.17
lentil,4.36,16.54,618.2,20.4,33.9,21.4,100.5,30.4,1.5
apple,4.99,21.4,745.1,49.8,11.9,56.5,114.5,32.1,10.98
mango,6.2,31.08,1234.2,58.4,32.2,36.8,107.8,55.9,10.21
watermelon,4.19,32.39,471.6,49.5,25.6,30.1,103.2,44.2,27.56
blackgram,10.28,29.85,1169.8,55.4,29.7,33.2,75.7,34.4,1.88
jute,8.26,24.15,2118.3,99.7,35.9,40.1,135.5,71.7,2.55
blackgram,2.81,31.91,729.6,40.1,18.5,39.3,66.5,38.6,1.38
mothbeans,8.65,30.65,558.2,28.7,35.1,10.0,78.1,28.0,1.16
muskmelon,10.33,28.01,413.9,53.6,36.7,46.5,97.8,25.5,19.22
kidneybeans,3.97,23.66,784.2,64.3,27.7,15.7,68.5,47.8,2.16
chickpea,7.56,18.79,302.5,42.4,43.2,33.6,102.1,40.5,2.24
mothbeans,5.75,29.94,481.0,56.0,30.8,25.6,50.0,38.4,1.47
banana,8.28,27.6,824.2,70.7,26.2,70.4,171.1,82.7,24.22
pomegranate,4.54,17.27,662.4,37.3,26.1,48.1,103.9,18.8,7.75
mungbean,13.61,22.8,618.4,62.2,24.8,43.8,95.7,18.1,1.04
banana,2.94,21.85,1611.3,104.8,30.6,65.2,185.0,74.2,32.41
blackgram,8.91,29.38,848.8,45.9,33.8,39.6,56.0,33.8,0.92
lentil,19.24,20.82,553.5,29.3,31.8,25.9,61.2,47.1,1.38
mungbean,7.24,29.83,690.8,42.7,27.1,25.0,63.3,29.2,1.29
mungbean,5.97,29.62,558.1,42.9,35.9,27.2,103.8,28.8,1.55
kidneybeans,19.08,24.95,532.9,47.3,49.8,39.6,66.2,40.3,1.99
coffee,6.94,19.0,1808.7,52.1,29.6,38.4,139.6,53.9,2.2
blackgram,5.34,21.52,679.7,40.6,17.2,30.6,84.8,33.5,1.05
cotton,28.09,24.24,569.0,79.3,32.9,17.2,173.7,75.9,2.42
orange,10.35,22.85,1102.9,57.8,25.7,43.9,74.1,53.9,14.05
jute,5.42,29.26,1649.8,68.9,37.7,46.7,111.0,41.0,2.84
coffee,5.54,24.4,1610.5,79.5,31.3,47.4,92.1,51.0,1.97
kidneybeans,5.03,22.68,735.9,52.3,46.0,53.0,91.1,33.0,2.05
chickpea,5.88,19.21,376.5,44.4,23.1,36.1,99.9,42.8,2.25
lentil,4.92,23.35,488.8,43.7,33.6,41.6,50.2,29.8,1.33
papaya,6.07,25.65,1109.3,82.7,45.1,76.2,180.3,79.6,33.81
grapes,8.95,22.85,945.0,38.7,41.0,43.1,126.1,59.2,9.7
coconut,3.51,25.11,2237.2,51.7,14.9,64.1,120.2,53.5,6.23
mothbeans,12.8,28.09,807.8,28.7,27.4,29.0,100.0,12.0,1.31
coconut,10.44,27.72,1666.6,55.5,20.8,43.1,118.9,66.8,9.18
watermelon,10.43,30.46,534.8,67.2,28.0,56.8,94.2,56.6,21.7
muskmelon,8.92,29.45,480.4,50.4,30.3,46.4,106.8,43.7,20.24
kidneybeans,4.84,22.83,348.2,50.8,41.1,21.2,127.7,40.2,1.94
mungbean,9.26,25.08,727.7,51.5,28.5,26.1,64.5,19.1,1.55
coffee,17.93,20.4,1659.5,76.6,40.3,38.8,113.7,47.5,2.38
pigeonpeas,7.23,22.26,702.3,31.8,29.7,38.7,88.0,47.2,1.59
coconut,11.98,28.74,1673.2,62.9,27.2,53.5,103.0,76.4,7.71
papaya,7.61,29.63,1277.4,36.8,19.9,52.1,163.7,62.3,29.49
jute,10.2,29.77,1310.0,62.4,32.3,43.7,134.0,73.1,3.01
mungbean,29.16,25.95,691.0,20.2,35.7,37.1,77.8,22.3,1.57
cotton,3.32,31.6,868.1,82.7,43.5,26.8,158.2,52.7,3.13
kidneybeans,3.9,19.58,643.6,73.7,34.3,45.1,65.4,43.7,2.14
kidneybeans,5.43,18.65,503.6,58.9,31.7,49.8,108.4,27.6,2.0
pigeonpeas,6.53,26.64,1048.4,54.7,33.3,45.1,40.0,47.5,2.05
grapes,1.46,24.02,923.0,48.0,19.5,39.7,101.4,46.2,9.01
maize,11.8,23.9,883.2,78.6,37.0,34.7,137.1,41.3,5.66
banana,6.71,31.24,1238.9,81.8,37.6,66.5,195.6,73.0,19.57
jute,9.05,28.86,1871.6,78.9,37.9,49.2,82.2,68.3,2.78
mungbean,7.02,22.5,672.0,51.3,35.9,27.5,65.1,10.0,1.48
jute,13.69,29.08,1165.2,72.7,31.3,35.0,77.4,60.8,2.55
coconut,3.82,26.08,1361.5,57.5,45.8,44.9,132.0,53.2,9.64
pomegranate,4.42,26.51,619.3,64.9,24.8,36.2,97.5,29.4,15.46
watermelon,3.46,30.09,744.5,72.1,23.7,50.0,91.1,33.9,26.47
orange,14.84,23.92,1103.0,38.2,30.7,42.5,100.1,65.5,11.98
muskmelon,4.65,25.57,553.3,65.7,38.1,44.3,133.3,39.9,22.45
mothbeans,8.79,28.31,389.3,23.8,30.4,28.2,40.0,13.7,1.16
chickpea,6.52,22.44,622.6,48.3,29.4,28.2,80.2,50.1,1.7
orange,26.65,17.12,1269.8,41.4,31.9,46.1,120.8,44.4,12.87
coffee,7.9,21.51,2109.9,66.9,35.0,34.9,119.6,74.5,2.43
kidneybeans,4.57,18.65,567.9,56.2,31.7,38.6,72.8,51.9,2.01
banana,3.63,25.64,1901.7,102.0,37.7,69.9,202.0,80.4,33.69
pigeonpeas,19.83,29.77,1013.3,52.8,36.4,34.1,112.2,48.5,1.67
kidneybeans,23.14,19.01,710.4,55.5,51.7,43.4,100.5,32.9,1.68
pigeonpeas,15.58,29.12,1191.4,50.1,27.7,22.8,88.9,29.8,2.45
maize,6.73,23.96,657.1,93.3,65.5,35.2,52.0,53.9,7.37
pigeonpeas,9.65,24.41,1148.1,47.0,31.0,46.9,108.3,22.6,1.31
pigeonpeas,10.85,36.0,729.4,47.8,48.2,32.5,86.4,44.3,1.35
coffee,11.81,19.21,824.7,55.1,13.3,47.3,94.7,32.1,1.86
coffee,14.59,25.52,1493.8,55.6,36.3,44.5,90.8,71.3,2.11
lentil,8.9,22.59,732.4,30.9,32.0,27.4,56.5,21.3,1.56
coffee,4.94,21.63,1241.9,50.1,44.5,36.3,126.5,78.1,2.67
banana,3.85,32.16,1412.4,77.5,37.9,60.5,167.4,87.1,28.0
rice,6.01,30.1,1007.1,94.2,39.2,47.7,155.4,95.0,4.41
mango,5.73,29.64,899.3,53.0,34.0,57.3,102.0,53.7,9.87
muskmelon,10.92,23.22,422.0,48.5,26.5,45.8,117.0,49.0,19.05
blackgram,6.74,32.48,948.4,34.5,25.4,27.4,104.8,38.5,1.56
watermelon,3.0,24.12,974.1,57.6,29.5,39.4,134.4,34.6,22.91
coffee,8.02,20.34,1814.5,85.5,37.7,32.1,102.0,42.1,2.04
grapes,4.39,23.28,896.9,46.7,34.6,35.0,79.9,72.9,13.33
banana,9.07,27.28,1509.3,87.8,26.9,61.2,172.7,56.8,28.22
coffee,7.82,18.23,1965.3,58.4,30.1,34.3,144.3,65.7,2.16
jute,10.3,27.96,1526.7,48.0,27.3,53.2,82.8,75.0,2.47
kidneybeans,6.08,17.37,556.2,61.2,39.4,19.8,157.5,53.1,1.16
orange,4.96,15.88,905.0,51.7,21.1,48.4,94.8,48.4,16.28
coffee,4.61,20.12,1634.6,79.2,33.9,43.0,105.8,49.8,2.22
apple,6.64,20.72,691.2,32.1,32.8,37.6,108.2,23.2,12.7
apple,5.56,19.22,695.0,54.3,28.2,40.3,82.7,27.3,11.28
coconut,14.95,26.47,1336.5,64.9,32.4,37.6,165.3,78.8,7.83
pomegranate,18.52,27.98,587.2,59.7,33.2,63.7,79.6,57.2,9.55
papaya,6.26,32.73,868.3,58.1,37.2,65.2,157.0,79.0,32.12
grapes,16.8,27.96,575.6,50.8,23.8,35.6,85.5,58.9,10.73
watermelon,4.99,30.77,499.6,56.2,39.2,53.0,75.5,45.0,23.42
kidneybeans,8.57,21.3,747.8,59.7,36.4,27.5,85.0,48.0,1.39
kidneybeans,3.97,20.76,555.4,61.6,32.6,28.2,80.2,38.0,2.29
rice,2.16,23.08,1286.6,81.8,45.4,38.3,132.5,83.1,5.24
watermelon,0.89,28.2,769.0,59.9,34.1,32.9,77.1,55.4,26.0
jute,20.3,26.07,1466.6,62.7,37.0,36.6,87.9,71.1,3.48
blackgram,12.35,29.79,640.2,44.2,38.9,11.7,80.3,43.6,1.14
lentil,6.52,19.86,302.9,38.0,31.2,31.5,87.1,17.5,1.72
watermelon,11.69,28.75,644.6,42.9,40.7,39.6,93.3,33.2,23.92
coffee,3.7,21.69,1336.1,65.9,30.5,31.2,92.8,71.4,1.65
blackgram,5.9,21.16,765.2,36.8,27.8,25.9,105.3,28.6,1.35
watermelon,4.25,25.05,602.1,30.5,37.4,46.4,136.9,42.2,23.82
mothbeans,30.0,31.71,562.0,13.3,10.0,22.8,102.3,21.6,1.03
orange,23.35,22.7,926.2,43.4,24.7,53.6,97.7,49.0,15.86
muskmelon,5.66,31.94,496.7,54.6,35.9,34.1,64.7,43.3,18.4
rice,12.13,35.06,787.4,89.3,33.1,28.1,107.7,78.5,3.36
kidneybeans,4.5,26.77,455.1,59.9,39.9,39.7,71.6,37.2,1.49
pomegranate,8.8,24.9,569.7,52.9,31.6,33.7,92.5,34.7,12.87
blackgram,3.94,28.28,818.8,39.7,27.3,28.7,65.4,17.9,1.64
apple,5.1,17.93,597.2,52.0,29.1,33.9,130.1,19.3,10.87
cotton,7.36,23.14,720.9,89.2,39.8,32.9,136.1,63.0,2.43
mothbeans,5.81,27.59,620.9,42.9,32.2,10.0,56.1,16.7,1.51
blackgram,4.69,33.41,519.5,36.6,20.6,32.1,72.3,37.0,1.4
chickpea,10.57,20.87,475.2,61.2,38.9,31.0,98.6,20.6,2.0
pigeonpeas,7.04,24.61,861.5,46.8,24.2,28.4,101.5,24.7,1.66
grapes,6.33,24.1,557.7,65.9,34.4,48.4,99.7,49.3,9.22
muskmelon,10.45,25.61,407.2,57.7,28.4,36.9,102.4,50.4,17.54
apple,3.96,24.63,735.8,46.8,30.4,44.5,97.5,48.6,11.58
mungbean,2.7,26.26,528.5,45.9,29.7,14.6,74.4,21.4,1.1
pomegranate,8.9,23.87,774.5,84.4,25.8,47.4,119.4,27.5,11.99
mango,19.07,29.59,927.7,53.9,46.6,57.5,120.3,55.6,6.82
muskmelon,4.91,27.75,250.0,55.7,37.7,32.8,101.8,49.2,15.88
kidneybeans,27.99,18.38,347.9,60.7,48.4,38.2,120.7,26.7,1.58
coconut,2.76,28.61,1447.2,53.9,25.6,54.7,123.9,77.4,10.69
lentil,9.79,18.28,610.1,34.5,37.6,36.3,40.4,22.4,1.77
watermelon,6.62,26.94,330.5,57.3,22.1,57.2,81.9,60.0,27.75
coffee,9.32,22.32,1721.5,60.3,35.4,45.6,106.3,87.2,3.04
maize,14.53,23.42,674.0,80.2,34.3,35.1,138.4,56.2,6.85
pomegranate,4.31,20.7,695.2,43.3,26.1,38.2,77.5,40.4,13.05
lentil,10.32,20.32,641.5,40.1,40.8,23.4,97.7,29.3,1.32
watermelon,30.0,19.99,588.1,79.3,32.3,32.7,130.9,40.4,26.43
apple,3.76,19.14,933.5,48.2,28.6,34.2,98.8,27.8,14.92
pomegranate,2.48,27.68,724.5,60.2,26.3,45.2,96.9,29.0,12.1
mothbeans,6.86,32.37,375.2,30.7,26.3,35.3,108.5,12.7,1.08
kidneybeans,5.83,17.11,491.4,49.8,26.9,40.4,104.9,64.6,1.57
blackgram,3.86,25.91,850.4,35.2,35.9,29.2,40.0,20.1,1.69
banana,3.76,29.91,1618.4,69.9,27.6,56.0,209.9,83.4,25.2
mango,5.46,30.68,1287.8,60.9,36.1,30.3,141.1,41.4,8.05
coconut,4.51,19.01,1734.7,79.2,28.4,55.6,85.8,62.3,5.05
mungbean,15.57,27.2,681.1,41.4,19.1,38.5,86.4,50.8,1.12
apple,20.42,19.11,883.4,54.2,20.1,32.6,77.5,37.3,8.9
muskmelon,14.53,28.19,626.0,52.7,35.2,43.8,98.3,30.5,19.83
watermelon,12.48,22.38,557.6,68.2,39.0,51.7,121.8,46.1,21.3
cotton,19.4,28.59,824.3,73.9,37.1,39.8,93.1,62.6,2.28
pomegranate,5.66,25.36,577.7,65.3,35.4,33.5,112.5,64.5,10.33
kidneybeans,20.58,24.36,661.2,53.1,34.9,43.3,107.4,28.5,1.69
cotton,6.1,28.76,658.8,72.1,48.8,54.3,158.2,85.3,1.86
orange,26.67,21.85,519.8,51.6,23.4,50.3,100.3,36.9,12.92
mothbeans,6.95,29.82,672.3,31.6,27.3,15.5,103.9,10.0,1.13
muskmelon,12.85,28.08,627.0,70.0,35.1,22.9,90.1,40.5,19.79
blackgram,8.44,31.98,645.9,54.0,32.1,23.0,66.3,33.4,1.54
maize,26.2,27.01,813.4,88.2,42.8,29.8,112.9,77.6,6.67
grapes,3.3,25.46,540.5,45.4,22.2,46.2,116.0,46.4,8.5
watermelon,5.73,27.73,702.7,55.2,26.6,55.7,115.0,23.5,24.5
coffee,2.75,21.67,1575.3,55.6,37.9,39.4,108.6,40.0,2.45
watermelon,14.49,29.8,577.2,83.0,20.7,48.6,71.3,41.1,23.69
mango,9.92,21.86,1285.2,53.8,33.3,44.5,148.5,40.4,8.46
maize,4.45,22.87,778.2,114.1,57.2,58.8,122.6,51.1,4.71
blackgram,10.61,29.68,516.4,52.4,29.8,28.5,65.9,20.6,1.77
pigeonpeas,5.74,18.48,1299.2,67.2,36.9,31.2,75.2,24.8,1.58
papaya,4.18,24.94,1154.8,84.1,31.7,54.8,181.1,78.4,37.83
mango,7.59,26.76,1008.2,44.7,25.4,68.0,110.9,65.4,8.45
coffee,21.06,18.96,2141.8,59.0,30.4,46.5,164.5,59.5,1.75
grapes,7.41,23.06,499.4,52.1,29.8,46.3,110.9,52.0,11.12
blackgram,11.31,26.43,587.0,30.5,36.0,39.3,67.9,31.8,1.77
mungbean,6.4,27.03,834.8,46.2,27.9,20.8,57.2,29.9,1.82
kidneybeans,2.47,23.49,744.8,61.3,22.3,30.4,103.5,58.7,2.19
pomegranate,3.11,14.93,639.4,42.0,18.6,33.5,112.1,51.5,14.35
rice,16.23,30.91,1248.7,94.3,40.3,40.8,117.4,95.0,3.38
blackgram,8.2,29.31,592.1,63.1,43.3,20.4,69.6,26.8,1.92
mungbean,7.57,29.44,747.9,35.0,26.0,34.7,42.1,59.5,0.99
watermelon,2.96,29.26,597.7,48.9,29.1,39.5,137.2,29.2,25.97
apple,7.21,19.08,1068.2,43.2,35.2,47.9,100.4,57.7,12.89
banana,9.53,29.41,933.9,94.8,44.7,65.9,136.3,74.9,24.3
cotton,3.32,24.24,1190.1,60.8,42.4,45.7,208.8,48.3,3.01
papaya,4.99,26.16,850.5,73.2,44.8,27.2,196.7,81.6,38.09
pomegranate,5.54,24.7,578.2,58.2,34.3,34.2,108.4,30.7,13.81
lentil,5.85,15.93,421.8,54.2,31.8,17.0,40.0,16.7,1.67
maize,19.88,20.45,477.6,81.2,55.5,46.4,185.5,70.4,5.37
kidneybeans,7.26,23.58,684.8,34.3,53.8,36.1,116.7,53.1,1.34
rice,4.96,27.04,1157.9,52.1,38.2,43.3,146.8,76.2,4.16
mothbeans,16.53,26.16,436.3,37.3,26.1,26.8,55.8,42.5,1.31
watermelon,17.09,19.73,794.3,50.1,18.6,44.2,115.1,47.1,26.5
maize,2.98,23.65,862.5,100.5,64.3,37.2,136.3,43.7,7.2
pomegranate,7.82,21.51,537.7,62.5,24.3,52.4,95.0,69.1,11.72
maize,6.41,25.28,1032.3,77.9,47.3,36.7,152.9,39.2,7.52
rice,7.31,27.1,1153.0,95.9,41.6,38.0,180.9,67.3,4.08
pomegranate,14.15,24.02,592.2,58.0,38.5,37.6,95.2,43.5,12.54
apple,7.41,19.45,888.3,37.1,25.9,29.4,83.0,30.8,10.01
banana,4.43,28.59,1299.9,110.4,28.6,73.9,149.8,76.6,26.88
pomegranate,10.47,28.69,639.2,61.5,29.7,46.2,103.2,43.2,16.32
mothbeans,10.1,33.61,455.4,20.5,35.4,31.5,72.3,24.6,0.8
rice,4.46,24.67,1320.0,84.1,59.6,42.3,118.0,67.6,4.17
muskmelon,2.96,28.26,515.4,65.3,21.8,47.4,103.7,69.4,19.96
chickpea,4.11,18.63,798.6,47.2,28.9,38.5,101.0,46.4,2.3
cotton,15.25,28.12,783.8,121.3,57.9,59.7,129.8,46.9,2.68
lentil,6.11,22.53,494.0,53.1,26.5,24.5,88.5,28.7,1.46
coffee,4.96,21.87,1374.9,67.4,39.9,60.9,101.4,54.3,2.64
lentil,2.19,14.18,665.5,44.7,30.0,28.4,86.0,21.5,1.22
chickpea,7.99,25.02,565.1,43.9,20.8,27.4,109.2,36.6,1.88
coffee,4.14,19.34,1552.0,62.6,36.8,41.0,130.4,79.1,2.13
lentil,7.69,12.0,664.8,49.9,31.6,55.6,61.9,15.9,1.84
grapes,10.07,20.17,749.5,42.7,16.7,34.3,94.9,38.9,7.37
jute,4.95,24.84,1469.7,100.7,34.3,38.5,55.3,59.5,2.16
apple,12.23,21.16,785.6,58.4,36.3,24.5,122.0,25.2,11.42
watermelon,7.19,22.75,569.7,55.4,36.5,57.9,106.0,47.4,26.35
jute,21.05,28.02,920.3,45.7,29.5,32.7,149.0,84.1,2.65
grapes,7.59,27.09,830.8,54.2,39.0,29.8,114.5,43.6,8.07
grapes,13.07,23.75,673.3,42.9,16.1,34.6,83.0,34.8,10.08
banana,4.38,27.07,2189.1,109.8,30.3,72.1,225.5,91.2,31.16
cotton,6.67,29.21,735.3,109.3,41.1,38.0,138.0,49.8,2.23
chickpea,9.03,20.3,657.1,33.9,45.5,55.0,79.2,41.2,2.3
pomegranate,2.98,20.89,605.2,60.9,32.4,47.2,44.6,45.9,12.53
jute,4.21,28.53,1374.9,91.6,21.4,53.0,134.5,39.8,3.1
orange,9.48,24.39,1113.2,55.1,30.2,50.0,118.0,70.1,10.85
coffee,6.52,20.33,1404.2,66.2,35.5,34.3,101.0,80.6,2.5
jute,2.16,24.45,1638.3,89.7,37.5,27.1,141.5,76.3,2.56
coffee,9.18,22.13,2057.6,54.0,44.9,50.8,140.9,80.7,1.87
coffee,11.1,20.07,1283.5,78.1,48.8,54.1,108.9,87.7,2.52
chickpea,4.64,20.56,860.9,49.4,45.2,35.3,109.4,32.2,1.97
watermelon,11.02,26.5,689.2,53.3,18.2,46.2,102.9,53.2,31.65
papaya,2.54,24.51,638.3,52.8,39.1,56.8,197.0,68.7,29.94
mango,4.12,32.74,986.6,65.6,29.9,67.4,87.4,52.8,9.2
mungbean,4.06,32.66,383.6,59.7,30.4,41.2,44.8,21.6,1.33
apple,6.06,20.5,925.2,53.3,31.6,33.9,85.6,39.6,12.02
orange,4.07,18.73,895.9,52.0,33.2,49.8,91.5,46.1,13.5
banana,7.34,25.6,1246.4,96.5,25.8,58.3,143.9,81.4,30.12
mango,3.65,29.64,1009.4,54.9,36.8,35.0,113.4,59.2,6.21
blackgram,13.71,28.13,877.1,38.7,27.7,32.1,99.8,34.3,2.03
watermelon,7.69,25.95,839.9,70.3,17.1,39.3,109.5,34.7,22.34
mungbean,4.23,21.54,682.0,29.6,30.9,41.0,40.0,47.6,1.23
maize,8.31,28.87,504.8,100.6,64.8,21.0,144.2,69.5,5.64
mungbean,8.89,26.81,460.0,47.6,37.7,27.5,104.4,50.4,1.04
lentil,2.62,22.63,655.7,43.1,31.7,30.6,101.3,30.8,1.18
grapes,3.18,23.18,716.0,38.8,11.7,43.6,70.3,24.2,9.66
orange,6.03,26.73,684.1,35.6,39.6,52.9,118.9,64.2,13.07
lentil,8.89,24.02,473.6,34.2,22.2,26.6,106.8,30.7,1.36
chickpea,14.28,20.45,399.1,30.5,30.2,33.7,66.7,28.0,1.83
maize,20.02,24.86,551.8,71.0,43.0,36.1,61.3,69.2,6.65
maize,7.85,20.5,952.5,105.1,43.6,35.5,111.9,61.7,5.24
muskmelon,4.48,31.47,586.8,48.1,32.9,48.1,108.4,42.2,18.67
banana,10.11,23.22,1625.5,88.3,25.4,79.3,113.7,86.1,24.89
papaya,10.3,27.13,1193.6,67.9,32.3,64.7,194.1,87.7,40.64
papaya,4.76,28.87,1019.0,93.5,28.4,71.4,181.0,51.2,36.81
lentil,4.49,17.72,536.2,40.4,28.9,31.8,62.9,36.0,1.36
lentil,14.35,29.0,749.8,42.1,28.3,19.4,65.1,27.1,1.35
orange,12.38,27.73,774.0,48.0,20.5,56.5,97.5,48.5,12.64
chickpea,6.24,25.63,581.0,27.4,35.2,32.1,104.9,25.2,2.07
papaya,1.92,28.23,1079.9,51.3,34.6,61.0,139.7,78.9,38.39
muskmelon,2.73,30.84,498.3,49.2,36.6,35.0,87.2,24.7,21.59
mothbeans,7.95,25.65,465.8,32.8,27.5,26.8,56.6,26.6,1.59
